School	District	City	Zip	WebSite	Latitude	Longitude	StatusType	Virtual
Lauderbach (J. Calvin) Elementary	Chula Vista Elementary	Chula Vista	91911	https://lauderbach.cvesd.org/	32.620279	-117.075660	Active	N
Laurel Elementary	Oceanside Unified	Oceanside	92058	https://laurel.oside.us	33.207375	-117.373450	Active	N
Learning Choice Academy	San Diego Unified	San Diego	92117	www.learningchoice.org/	32.834216	-117.190710	Active	C
Learning Choice Academy - Chula Vista	Chula Vista Elementary	Chula Vista	91914	www.learningchoice.org	32.652419	-116.965510	Active	C
Lemon Avenue Elementary	La Mesa-Spring Valley	La Mesa	91941	No Data	32.768184	-117.008370	Active	N
Lemon Crest Elementary	Lakeside Union	Lakeside	92040	www.lsusd.net	32.852280	-116.921720	Active	N
Lemon Grove Academy Elementary	Lemon Grove	Lemon Grove	91945	https://lgae.lemongrovesd.net/	32.741758	-117.028690	Active	N
Lemon Grove Academy for the Sciences and Humanities	Lemon Grove	Lemon Grove	91945	https://lgam.lemongrovesd.net/	32.738507	-117.028860	Active	N
Lemon Grove Early Childhood Education Center	Lemon Grove	Lemon Grove	91945	www.lemongrovesd.net	32.733675	-117.019430	Active	N
Leonardo da Vinci Health Sciences Charter	Chula Vista Elementary	Chula Vista	91911	www.davincicharter.org	32.619689	-117.047980	Active	N
Lewis Middle	San Diego Unified	San Diego	92120	www.lewis.sandiegounified.org/	32.795877	-117.079770	Active	N
Lexington Elementary	Cajon Valley Union	El Cajon	92019	No Data	32.791145	-116.942340	Active	N
Libby Elementary	Oceanside Unified	Oceanside	92057	https://libby.oside.us	33.251715	-117.304670	Active	N
Liberty Elementary	Chula Vista Elementary	Chula Vista	91914	https://liberty.cvesd.org/	32.663976	-116.977610	Active	N
Lilac	Valley Center-Pauma Unified	Valley Center	92082	http://lilac.vcpusd.org	33.256624	-117.069170	Active	N
Lincoln Acres	National Elementary	National City	91950	No Data	32.671255	-117.075690	Active	N
Lincoln Elementary	Escondido Union	Escondido	92026	www.eusd.org	33.134291	-117.087140	Active	N
Lincoln High	San Diego Unified	San Diego	92113	www.lincoln.sandiegounified.org/	32.704034	-117.091960	Active	C
Lincoln Middle	Oceanside Unified	Oceanside	92054	https://lincoln.oside.us	33.187731	-117.352550	Active	N
Linda Vista Elementary	San Diego Unified	San Diego	92111	www.lindavista.sandiegounified.org/	32.793449	-117.173140	Active	N
Lindo Park Elementary	Lakeside Union	Lakeside	92040	www.lsusd.net	32.859031	-116.914430	Active	N
Literacy First Charter	San Diego County Office of Education	El Cajon	92020	www.lfcsinc.org	32.787667	-116.952010	Active	N
Live Oak Elementary	Fallbrook Union Elementary	Fallbrook	92028	http://loe.fuesd.org/	33.369178	-117.217400	Active	N
Logan Memorial Educational Campus	San Diego Unified	San Diego	92113	http://lmec.sandiegounified.org/	32.700754	-117.132590	Active	N
Loma Elementary	La Mesa-Spring Valley	Spring Valley	91978	www.lmsvschools.org	32.736664	-116.968840	Active	N
Loma Portal Elementary	San Diego Unified	San Diego	92106	www.lomaportal.sandiegounified.org/	32.740347	-117.221100	Active	N
Loma Verde Elementary	Chula Vista Elementary	Chula Vista	91911	https://lomaverde.cvesd.org/	32.601123	-117.048890	Active	N
Longfellow UTK-8	San Diego Unified	San Diego	92110	www.sandiegounified.org/schools/longfellow	32.783766	-117.188510	Active	N
Los Altos Elementary	Chula Vista Elementary	San Diego	92154	https://losaltos.cvesd.org/	32.572654	-117.048890	Active	N
Los Coches Creek Middle	Cajon Valley Union	El Cajon	92021	No Data	32.858622	-116.819380	Active	N
Los Penasquitos Elementary	Poway Unified	San Diego	92129	www.powayusd.com/pusdlpes	32.970519	-117.096220	Active	N
MAAC Community Charter	Sweetwater Union High	Chula Vista	91911	www.maacproject.org	32.604299	-117.065430	Active	N
MERIT Academy	Grossmont Union High	El Cajon	92020	https://merit.guhsd.net	32.816861	-116.979650	Active	C
Madison Avenue Elementary	Cajon Valley Union	El Cajon	92019	No Data	32.800143	-116.922000	Active	N
Madison High	San Diego Unified	San Diego	92117	www.madison.sandiegounified.org/	32.831046	-117.175680	Active	C
Madison Middle	Vista Unified	Oceanside	92056	http://mms.vistausd.org	33.173316	-117.258710	Active	N
Magnolia Elementary	Cajon Valley Union	El Cajon	92021	No Data	32.813388	-116.954040	Active	N
Magnolia Elementary	Carlsbad Unified	Carlsbad	92008	https://mes.carlsbadusd.net	33.160076	-117.326700	Active	N
Magnolia Science Academy San Diego	San Diego Unified	San Diego	92120	www.msasd.magnoliapublicschools.org/	32.791691	-117.087830	Active	N
Maie Ellis Elementary	Fallbrook Union Elementary	Fallbrook	92028	http://mee.fuesd.org/	33.380281	-117.253970	Active	N
Major General Raymond Murray High	Vista Unified	Vista	92083	http://mgm.vistausd.org	33.198351	-117.255820	Active	N
Mann Middle	San Diego Unified	San Diego	92115	www.mann.sandiegounified.org/	32.756620	-117.079300	Active	N
Mar Vista Academy	Sweetwater Union High	San Diego	92154	https://mva.sweetwaterschools.org/	32.573445	-117.095810	Active	N
Mar Vista Senior High	Sweetwater Union High	Imperial Beach	91932	https://mvh.sweetwaterschools.org/	32.580208	-117.122240	Active	N
Marshall (Thurgood) Elementary	Chula Vista Elementary	Chula Vista	91914	https://marshall.cvesd.org/	32.659064	-116.968200	Active	N
Marshall Elementary	San Diego Unified	San Diego	92105	www.marshall.sandiegounified.org/	32.742345	-117.086380	Active	N
Marshall Middle	San Diego Unified	San Diego	92131	https://marshallmiddle.sandiegounified.org/	32.896523	-117.100110	Active	N
Marston Middle	San Diego Unified	San Diego	92117	www.marston.sandiegounified.org/	32.808054	-117.201110	Active	N
Martin Luther King Jr. Middle	Oceanside Unified	Oceanside	92057	https://king.oside.us	33.215828	-117.310670	Active	N
Marvin Elementary	San Diego Unified	San Diego	92120	https://marvin.sandi.net/	32.796157	-117.069130	Active	N
Mary Fay Pendleton Elementary	Fallbrook Union Elementary	Oceanside	92058	http://mfp.fuesd.org/	33.323361	-117.310570	Active	N
Maryland Avenue Elementary	La Mesa-Spring Valley	La Mesa	91941	www.lmsvschools.org	32.777787	-117.038200	Active	N
Maryland Elementary	Vista Unified	Vista	92084	http://me.vistausd.org	33.215538	-117.257930	Active	N
Mason Elementary	San Diego Unified	San Diego	92126	www.mason.sandiegounified.org/	32.906112	-117.139480	Active	N
McGill School of Success	San Diego Unified	San Diego	92102	www.mcgillschoolofsuccess.org/	32.725479	-117.129700	Active	N
McKinley Elementary	San Diego Unified	San Diego	92104	www.mckinley.sandiegounified.org/	32.736627	-117.122080	Active	N
McMillin (Corky) Elementary	Chula Vista Elementary	Chula Vista	91913	https://mcmillin.cvesd.org/	32.631793	-116.985290	Active	N
Meadowbrook Middle	Poway Unified	Poway	92064	www.powayusd.com/pusdmbms	32.963401	-117.064050	Active	C
Meridian Elementary	Cajon Valley Union	El Cajon	92019	No Data	32.788386	-116.926850	Active	N
Mesa Verde Middle	Poway Unified	San Diego	92129	www.powayusd.com/pusdmvms	32.962739	-117.146710	Active	C
Method Summit Academy	Dehesa Elementary	El Cajon	92019	No Data	32.781588	-116.850910	Active	C
Midland Elementary	Poway Unified	Poway	92064	www.powayusd.com/pusdmies	32.966051	-117.036190	Active	N
Mike Choate Early Childhood Education Center	Fallbrook Union Elementary	Fallbrook	92028	www.fuesd.org/apps/pages/index.jsp?urec_id812644&typed&prec_id1199003	33.377188	-117.254070	Active	N
Millennial Tech Middle	San Diego Unified	San Diego	92102	https://mtmsteam.org/	32.716935	-117.088610	Active	N
Miller Elementary	Escondido Union	Escondido	92025	www.eusd.org	33.096460	-117.078960	Active	N
Miller Elementary	San Diego Unified	San Diego	92124	www.miller.sandiegounified.org/	32.818568	-117.107560	Active	N
Mira Mesa High	San Diego Unified	San Diego	92126	www.miramesa.sandiegounified.org/	32.910904	-117.140370	Active	N
Miramar Ranch Elementary	San Diego Unified	San Diego	92131	www.miramarranch.sandiegounified.org/	32.910297	-117.099020	Active	N
Mission Bay High	San Diego Unified	San Diego	92109	www.missionbay.sandiegounified.org/	32.801298	-117.224410	Active	C
Mission Elementary	Oceanside Unified	Oceanside	92058	https://mission.oside.us	33.205741	-117.362930	Active	N
Mission Estancia Elementary	Encinitas Union Elementary	Carlsbad	92009	www.eusd.k12.ca.us/me	33.072276	-117.235330	Active	N
Mission Hills High	San Marcos Unified	San Marcos	92069	www.smusd.org	33.147163	-117.146940	Active	N
Mission Meadows Elementary	Vista Unified	Oceanside	92056	http://mm.vistausd.org	33.246059	-117.258060	Active	N
Mission Middle	Escondido Union	Escondido	92026	www.eusd.org	33.133940	-117.073240	Active	N
Mission Vista High	Vista Unified	Oceanside	92057	http://mvhs.vistausd.org	33.255990	-117.263810	Active	N
Monarch	San Diego County Office of Education	San Diego	92113	www.monarchschools.org	32.702375	-117.150450	Active	C
Monte Vista Elementary	Vista Unified	Vista	92084	http://mv.vistausd.org	33.190319	-117.212120	Active	N
Monte Vista High	Grossmont Union High	Spring Valley	91977	http://monarchs.guhsd.net/	32.738087	-116.972210	Active	C
Montecito High (Continuation)	Ramona City Unified	Ramona	92065	https://mhs.ramonausd.net	33.039022	-116.863970	Active	N
Monterey Heights Elementary	Lemon Grove	Lemon Grove	91945	https://mhe.lemongrovesd.net/	32.722188	-117.033150	Active	N
Monterey Ridge Elementary	Poway Unified	San Diego	92127	www.powayusd.com/pusdmres	33.026400	-117.109400	Active	N
Montgomery (John J.) Elementary	Chula Vista Elementary	Chula Vista	91911	https://montgomery.cvesd.org/	32.597875	-117.069000	Active	N
Montgomery Adult	Sweetwater Union High	San Diego	92154	No Data	32.585313	-117.062050	Active	N
Montgomery Middle	Cajon Valley Union	El Cajon	92019	No Data	32.796530	-116.925420	Active	N
Montgomery Middle	San Diego Unified	San Diego	92111	www.montgomery.sandiegounified.org/	32.788093	-117.171620	Active	N
Montgomery Middle	Sweetwater Union High	San Diego	92154	https://mom.sweetwaterschools.org/	32.576045	-117.056120	Active	N
Montgomery Senior High	Sweetwater Union High	San Diego	92154	No Data	32.583873	-117.064220	Active	N
Morning Creek Elementary	Poway Unified	San Diego	92128	www.powayusd.com/pusdmces	32.953272	-117.095540	Active	N
Morse High	San Diego Unified	San Diego	92114	www.morse.sandiegounified.org/	32.702602	-117.048760	Active	C
Mount Miguel Early College High	Grossmont Union High	Spring Valley	91977	https://mountmiguel.guhsd.net	32.724917	-117.016890	Active	C
Mountain Empire High	Mountain Empire Unified	Pine Valley	91962	No Data	32.734424	-116.493700	Active	N
Mountain Empire Junior High	Mountain Empire Unified	Pine Valley	91962	www.meusd.org	32.734352	-116.492940	Active	N
Mountain Empire Special Education Preschool	Mountain Empire Unified	Pine Valley	91962	No Data	32.757260	-116.492710	Active	N
Mountain Valley Academy	Ramona City Unified	Ramona	92065	https://mva.ramonausd.net	33.026764	-116.878450	Active	N
Mountain View	San Diego Unified	San Diego	92113	https://mountainview.sandiegounified.org/	32.697450	-117.117460	Active	N
Mountain View Learning Academy	Alpine Union Elementary	Alpine	91901	www.alpineschools.net/mountainview	32.832208	-116.815070	Active	N
Mt. Carmel High	Poway Unified	San Diego	92129	www.powayusd.com/pusdmchs	32.965926	-117.120910	Active	C
Mt. Vernon Elementary	Lemon Grove	Lemon Grove	91945	https://mve.lemongrovesd.net/	32.732311	-117.020930	Active	N
Mt. Woodson Elementary	Ramona City Unified	Ramona	92065	https://mwes.ramonausd.net	33.031043	-116.956610	Active	N
Mueller Charter (Robert L.)	Chula Vista Elementary	Chula Vista	91910	https://muellercharter.org/	32.626229	-117.092840	Active	N
Muirlands Middle	San Diego Unified	La Jolla	92037	www.muirlands.sandiegounified.org/	32.832130	-117.269700	Active	N
Muraoka (Saburo) Elementary	Chula Vista Elementary	Chula Vista	91915	https://muraoka.cvesd.org/	32.615167	-116.991630	Active	N
Murdock Elementary	La Mesa-Spring Valley	La Mesa	91941	www.lmsvschools.org	32.758828	-116.984740	Active	N
Murray Manor Elementary	La Mesa-Spring Valley	La Mesa	91942	www.lmsvschools.org	32.788351	-117.019870	Active	N
Museum	San Diego Unified	San Diego	92103	www.museumschool.org/	32.732423	-117.165140	Active	N
Naranca Elementary	Cajon Valley Union	El Cajon	92021	No Data	32.803995	-116.946380	Active	N
National City Adult	Sweetwater Union High	National City	91950	No Data	32.663588	-117.096000	Active	N
National City Middle	Sweetwater Union High	National City	91950	www.sweetwaterschools.org	32.669245	-117.099730	Active	N
National School District Preschool	National Elementary	National City	91950	www.nsd.us	32.673505	-117.090390	Active	N
Nestor Language Academy Charter	South Bay Union	San Diego	92154	www.sbusd.org/nestor/site/default.asp	32.570376	-117.084100	Active	N
Nichols Leadership Academy	Oceanside Unified	Oceanside	92057	https://nichols.oside.us	33.238070	-117.315590	Active	N
Nipaquay Elementary	San Diego Unified	San Diego	92108	https://nipaquay.sandiegounified.org/	32.777166	-117.149230	Active	N
No Data	San Diego County Office of Education	San Diego	92111	www.sdcoe.net	32.771468	-117.179300	Active	No Data
No Data	Alpine Union Elementary	Alpine	91901	www.alpineschools.net	32.824651	-116.775330	Active	No Data
No Data	Borrego Springs Unified	Borrego Springs	92004	www.bsusd.net	33.265514	-116.383730	Active	No Data
No Data	Cajon Valley Union	El Cajon	92020	www.cajonvalley.net	32.795716	-116.953090	Active	No Data
No Data	Cardiff Elementary	Cardiff-by-the-Sea	92007	www.cardiffschools.com	33.025044	-117.282200	Active	No Data
No Data	Chula Vista Elementary	Chula Vista	91910	www.cvesd.org	32.631751	-117.059140	Active	No Data
No Data	Coronado Unified	Coronado	92118	www.coronadousd.net	32.696488	-117.187190	Active	No Data
No Data	Dehesa Elementary	El Cajon	92019	www.dehesasd.net/	32.781239	-116.851200	Active	No Data
No Data	Del Mar Union Elementary	San Diego	92130	www.dmusd.org	32.923323	-117.231850	Active	No Data
No Data	Encinitas Union Elementary	Encinitas	92024	www.eusd.net	33.036919	-117.238280	Active	No Data
No Data	Escondido Union	Escondido	92029	www.eusd.org	33.118080	-117.114710	Active	No Data
No Data	Escondido Union High	Escondido	92027	www.euhsd.org	33.136179	-117.050940	Active	No Data
No Data	Fallbrook Union Elementary	Fallbrook	92028	www.fuesd.org	33.384027	-117.247100	Active	No Data
No Data	Fallbrook Union High	Fallbrook	92028	www.fuhsd.net	33.351718	-117.237070	Active	No Data
No Data	Grossmont Union High	El Cajon	92020	www.guhsd.net/	32.780461	-116.986190	Active	No Data
No Data	Jamul-Dulzura Union Elementary	Jamul	91935	www.jdusd.net	32.730137	-116.854560	Active	No Data
No Data	Julian Union Elementary	Julian	92036	https://juesd.net/	33.078843	-116.593860	Active	No Data
No Data	Julian Union High	Julian	92036	www.juhsd.org	33.076465	-116.594510	Active	No Data
No Data	Lakeside Union	Lakeside	92040	www.lsusd.net	32.856779	-116.925810	Active	No Data
No Data	La Mesa-Spring Valley	La Mesa	91942	www.lmsvschools.org	32.765013	-117.022070	Active	No Data
No Data	Lemon Grove	Lemon Grove	91945	https://www.lemongrovesd.net	32.738226	-117.025970	Active	No Data
No Data	Mountain Empire Unified	Pine Valley	91962	http://meusd.org	32.733087	-116.492410	Active	No Data
No Data	National Elementary	National City	91950	www.nsd.us	32.673757	-117.090290	Active	No Data
No Data	Poway Unified	San Diego	92128	www.powayusd.com	32.992958	-117.081260	Active	No Data
No Data	Ramona City Unified	Ramona	92065	www.ramonausd.net	33.039022	-116.863970	Active	No Data
No Data	Rancho Santa Fe Elementary	Rancho Santa Fe	92067	http://rsfschool.net	33.021758	-117.206940	Active	No Data
No Data	San Diego Unified	San Diego	92103	www.sandiegounified.org	32.754010	-117.148160	Active	No Data
No Data	San Dieguito Union High	Encinitas	92024	www.sduhsd.net	33.048709	-117.276310	Active	No Data
No Data	San Pasqual Union Elementary	Escondido	92027	www.sanpasqualunion.net	33.111418	-117.011270	Active	No Data
No Data	Santee	Santee	92071	www.santeesd.net	32.852891	-116.983240	Active	No Data
No Data	San Ysidro Elementary	San Ysidro	92173	www.sysdschools.org	32.562857	-117.038560	Active	No Data
No Data	Solana Beach Elementary	Solana Beach	92075	www.sbsd.k12.ca.us	32.989379	-117.268480	Active	No Data
No Data	South Bay Union	Imperial Beach	91932	www.sbusd.org	32.580200	-117.120220	Active	No Data
No Data	Spencer Valley Elementary	Santa Ysabel	92070	www.sdcoe.k12.ca.us/districts/spencer	33.097900	-116.646800	Active	No Data
No Data	Sweetwater Union High	Chula Vista	91911	www.sweetwaterschools.org/	32.610389	-117.076940	Active	No Data
No Data	Vallecitos Elementary	Rainbow	92028	www.vallecitossd.net	33.413917	-117.149540	Active	No Data
No Data	Vista Unified	Vista	92084	www.vistausd.org	33.224860	-117.222380	Active	No Data
No Data	Carlsbad Unified	Carlsbad	92009	www.carlsbadusd.net	33.122838	-117.266740	Active	No Data
No Data	Oceanside Unified	Oceanside	92058	www.oside.us	33.205744	-117.362610	Active	No Data
No Data	San Marcos Unified	San Marcos	92069	www.smusd.org	33.142336	-117.165740	Active	No Data
No Data	San Diego County ROP	San Diego	92111	www.sdcoe.net	32.771468	-117.179300	Active	No Data
No Data	Warner Unified	Warner Springs	92086	www.warnerusd.net	33.292294	-116.684890	Active	No Data
No Data	Valley Center-Pauma Unified	Valley Center	92082	www.vcpusd.org	33.236463	-117.022510	Active	No Data
No Data	Bonsall Unified	Bonsall	92003	www.bonsallusd.com	33.284562	-117.219750	Active	No Data
Normal Heights Elementary	San Diego Unified	San Diego	92116	www.normalheights.sandiegounified.org	32.761139	-117.113760	Active	N
Norman L. Sullivan Middle	Bonsall Unified	Bonsall	92003	www.bonsallusd.com	33.296116	-117.175070	Active	N
North Broadway Elementary	Escondido Union	Escondido	92026	www.eusd.org	33.161048	-117.092930	Active	N
North County Trade Tech High	Vista Unified	Vista	92083	www.tradetechhigh.org	33.212842	-117.255110	Active	N
North Terrace Elementary	Oceanside Unified	Oceanside	92058	https://northterrace.oside.us	33.219150	-117.380040	Active	N
Northmont Elementary	La Mesa-Spring Valley	La Mesa	91942	www.lmsvschools.org	32.790877	-116.993980	Active	N
Nye Elementary	San Diego Unified	San Diego	92114	www.nye.sandiegounified.org/	32.696055	-117.070130	Active	N
Oak Crest Middle	San Dieguito Union High	Encinitas	92024	No Data	33.042141	-117.268330	Active	N
Oak Glen High	Valley Center-Pauma Unified	Valley Center	92082	http://oghs.vcpusd.org	33.282007	-117.024010	Active	N
Oak Grove Middle	Jamul-Dulzura Union Elementary	Jamul	91935	www.jdusd.net/middle.cfm	32.722358	-116.861590	Active	N
Oak Hill Elementary	Escondido Union	Escondido	92027	www.eusd.org	33.129530	-117.051250	Active	N
Oak Park Elementary	San Diego Unified	San Diego	92105	www.oakpark.sandiegounified.org/	32.732601	-117.079700	Active	N
Oak Valley Middle	Poway Unified	San Diego	92127	www.powayusd.com/pusdovms	32.999254	-117.109800	Active	C
Oasis High (Alternative)	Fallbrook Union High	Fallbrook	92028	www.oasishigh.org	33.351956	-117.236110	Active	C
Ocean Air	Del Mar Union Elementary	San Diego	92130	www.dmusd.org/oceanair	32.928100	-117.214700	Active	N
Ocean Beach Elementary	San Diego Unified	San Diego	92107	www.oceanbeach.sandiegounified.org/	32.745144	-117.246150	Active	N
Ocean Knoll Elementary	Encinitas Union Elementary	Encinitas	92024	www.eusd.k12.ca.us/ok	33.039889	-117.272500	Active	N
Ocean View Hills	San Ysidro Elementary	San Diego	92154	www.sysdschools.org	32.572128	-117.025770	Active	N
Oceanside High	Oceanside Unified	Oceanside	92054	https://ohs.oside.us	33.197067	-117.374140	Active	C
Oceanside Unified School District Adult Transition Program	Oceanside Unified	Oceanside	92058	https://atp.oside.us	33.208707	-117.362290	Active	N
Old Town Academy K-8 Charter	San Diego Unified	San Diego	92110	www.oldtownacademy.org/	32.746573	-117.189250	Active	N
Olive Peirce Middle	Ramona City Unified	Ramona	92065	https://opms.ramonausd.net	33.025724	-116.871610	Active	N
Olivenhain Pioneer Elementary	Encinitas Union Elementary	Carlsbad	92009	www.eusd.k12.ca.us/op	33.064891	-117.232270	Active	N
Olivewood	National Elementary	National City	91950	No Data	32.662903	-117.094980	Active	N
Olympian High	Sweetwater Union High	Chula Vista	91913	www.sweetwaterschools.org	32.607105	-116.972090	Active	N
Olympic View Elementary	Chula Vista Elementary	Chula Vista	91915	https://olympicview.cvesd.org/	32.635720	-116.963420	Active	N
Oneonta Elementary	South Bay Union	Imperial Beach	91932	No Data	32.572720	-117.112150	Active	N
Options Middle College High	Sweetwater Union High	Chula Vista	91910	https://oss.sweetwaterschools.org/	32.639859	-116.998180	Active	C
Orange Glen Elementary	Escondido Union	Escondido	92027	www.eusd.org	33.145429	-117.036050	Active	N
Orange Glen High	Escondido Union High	Escondido	92027	www.orangeglenhigh.org/	33.129474	-117.038000	Active	C
Otay Elementary	Chula Vista Elementary	Chula Vista	91911	https://otay.cvesd.org/	32.595806	-117.058040	Active	N
Otay Ranch Senior High	Sweetwater Union High	Chula Vista	91913	www.sweetwaterschools.org	32.619073	-116.996350	Active	N
PRIDE Academy at Prospect Avenue	Santee	Santee	92071	www.santeesd.net	32.833793	-116.996000	Active	N
Pablo Tac School of the Arts	Oceanside Unified	Oceanside	92054	https://pablotac.oside.us	33.219659	-117.336200	Active	N
Pacific Beach Elementary	San Diego Unified	San Diego	92109	www.pacificbeach.sandiegounified.org/	32.808661	-117.250410	Active	N
Pacific Beach Middle	San Diego Unified	San Diego	92109	www.pbmiddle.sandiegounified.org/	32.802126	-117.241670	Active	N
Pacific Rim Elementary	Carlsbad Unified	Carlsbad	92009	https://pres.carlsbadusd.net	33.111431	-117.305030	Active	N
Pacific Sky	Del Mar Union Elementary	San Diego	92130	No Data	32.963705	-117.173700	Active	N
Pacific Springs Charter	San Diego County Office of Education	Chula Vista	91914	www.springscharterschools.org	32.652402	-116.963990	Active	N
Pacific Trails Middle	San Dieguito Union High	San Diego	92130	www.sduhsd.net/our-schools/pacific-trails-middle-school/index.html	32.958864	-117.186240	Active	N
Pacific View Charter	Oceanside Unified	Oceanside	92056	www.pacificview.org	33.210649	-117.311510	Active	N
Pacific View Leadership Elementary	San Diego Unified	San Diego	92139	www.pacificview.sandiegounified.org/	32.670197	-117.057100	Active	N
Painted Rock Elementary	Poway Unified	Poway	92064	www.powayusd.com/pusdpres	33.017454	-117.039710	Active	N
Palmer Way	National Elementary	National City	91950	No Data	32.679585	-117.074770	Active	N
Palmquist Elementary	Oceanside Unified	Oceanside	92054	https://palmquist.oside.us	33.189628	-117.349380	Active	N
Paloma Elementary	San Marcos Unified	San Marcos	92069	www.smusd.org	33.159796	-117.184820	Active	N
Palomar Elementary	Chula Vista Elementary	Chula Vista	91911	https://palomar.cvesd.org/	32.613776	-117.042820	Active	N
Palomar High	Sweetwater Union High	Chula Vista	91911	www.sweetwaterschools.org	32.604757	-117.073850	Active	N
Paradise Hills Elementary	San Diego Unified	San Diego	92139	www.paradisehills.sandiegounified.org/	32.679597	-117.066220	Active	N
Park Dale Lane Elementary	Encinitas Union Elementary	Encinitas	92024	www.eusd.k12.ca.us/pd	33.046392	-117.243110	Active	N
Park Village Elementary	Poway Unified	San Diego	92129	www.powayusd.com/pusdpves	32.940459	-117.150690	Active	N
Parkview Elementary	Chula Vista Elementary	Chula Vista	91911	https://parkview.cvesd.org/	32.612989	-117.031150	Active	N
Parkway Sports and Health Science Academy	La Mesa-Spring Valley	La Mesa	91942	www.lmsvschools.org	32.791277	-117.002930	Active	N
Paul Ecke-Central Elementary	Encinitas Union Elementary	Encinitas	92024	www.eusd.k12.ca.us/pe	33.058062	-117.297030	Active	N
Pauma Elementary	Valley Center-Pauma Unified	Pauma Valley	92061	http://pauma.vcpusd.org	33.315897	-116.998730	Active	N
Pendleton Elementary	San Diego Unified	San Diego	92115	https://clay.sandiegounified.org/	32.763509	-117.057960	Active	N
Penn Elementary	San Diego Unified	San Diego	92139	www.penn.sandiegounified.org/	32.673067	-117.047100	Active	N
Pepper Drive Elementary	Santee	El Cajon	92020	www.santeesd.net	32.826876	-116.954010	Active	N
Perkins K-8	San Diego Unified	San Diego	92113	www.perkins.sandiegounified.org/	32.700764	-117.149130	Active	N
Perry Elementary	San Diego Unified	San Diego	92139	www.perry.sandiegounified.org/	32.684978	-117.058640	Active	N
Pershing Middle	San Diego Unified	San Diego	92119	http://pershing.sandiegounified.org/	32.800979	-117.020390	Active	N
Pioneer Elementary	Escondido Union	Escondido	92027	www.eusd.org	33.138286	-117.072230	Active	N
Poinsettia Elementary	Carlsbad Unified	Carlsbad	92009	https://pes.carlsbadusd.net	33.118600	-117.256200	Active	N
Point Loma High	San Diego Unified	San Diego	92106	www.pointlomahigh.com/	32.740362	-117.226620	Active	C
Pomerado Elementary	Poway Unified	Poway	92064	www.powayusd.com/pusdpoes	32.958705	-117.064570	Active	N
Porter Elementary	San Diego Unified	San Diego	92113	http://new.sandi.net/schools/porter	32.698710	-117.091060	Active	N
Potrero Elementary	Mountain Empire Unified	Potrero	91963	No Data	32.610058	-116.613300	Active	N
Poway Adult	Poway Unified	Poway	92064	www.powayusd.com/pusdctae/	32.978786	-117.035860	Active	C
Poway High	Poway Unified	Poway	92064	www.powayusd.com/pusdphs	32.996858	-117.023660	Active	C
Poway to Palomar Middle College High	Poway Unified	San Diego	92127	http://powayusd.com	33.023174	-117.089420	Active	C
Preuss School UCSD	San Diego Unified	La Jolla	92037	http://preuss.ucsd.edu/	32.882311	-117.221680	Active	N
Quantum Academy	Escondido Union	Escondido	92027	www.eusd.org	33.143614	-117.035010	Active	C
R. Roger Rowe Elementary	Rancho Santa Fe Elementary	Rancho Santa Fe	92067	https://rsfschool.net/	33.021758	-117.206940	Active	C
R. Roger Rowe Middle	Rancho Santa Fe Elementary	Rancho Santa Fe	92067	https://rsfschool.net/	33.021758	-117.206940	Active	C
Ralph Waldo Emerson Elementary	San Diego Unified	San Diego	92113	https://emerson.sandiegounified.org/	32.695014	-117.118740	Active	N
Ramona Adult	Ramona City Unified	Ramona	92065	No Data	33.039329	-116.863870	Active	N
Ramona Community Montessori	Ramona City Unified	Ramona	92065	https://rcms.ramonausd.net	33.026764	-116.878450	Active	N
Ramona Elementary	Ramona City Unified	Ramona	92065	https://res.ramonausd.net	33.042610	-116.864520	Active	N
Ramona High	Ramona City Unified	Ramona	92065	www.ramonausd.net/rhs	33.025724	-116.868670	Active	N
Rancho Bernardo High	Poway Unified	San Diego	92128	www.powayusd.com/pusdrbhs	32.994329	-117.068050	Active	C
Rancho Buena Vista High	Vista Unified	Vista	92081	http://rbv.vistausd.org	33.164594	-117.247150	Active	N
Rancho Elementary	La Mesa-Spring Valley	Spring Valley	91977	www.lmsvschools.org	32.705080	-117.015940	Active	N
Rancho San Diego Elementary	Cajon Valley Union	El Cajon	92019	No Data	32.754628	-116.932870	Active	N
Rancho de la Nacion	National Elementary	National City	91950	No Data	32.687964	-117.090590	Active	N
Rancho del Rey Middle	Sweetwater Union High	Chula Vista	91910	www.sweetwaterschools.org	32.630868	-117.007640	Active	N
Reidy Creek Elementary	Escondido Union	Escondido	92026	www.eusd.org	33.172590	-117.089280	Active	N
Rice (Lilian J.) Elementary	Chula Vista Elementary	Chula Vista	91911	https://rice.cvesd.org/	32.619137	-117.075690	Active	N
Richland Elementary	San Marcos Unified	San Marcos	92069	www.smusd.org	33.157244	-117.141820	Active	N
Riley/Marcy/New Dawn	San Diego Unified	San Diego	92111	http://riley.sandiegounified.org/	32.809086	-117.179360	Active	N
Rincon Middle	Escondido Union	Escondido	92026	www.eusd.org	33.157721	-117.082550	Active	N
Rio Seco Elementary	Santee	Santee	92071	www.santeesd.net	32.851376	-116.983240	Active	N
Rios Elementary	Cajon Valley Union	El Cajon	92021	No Data	32.840076	-116.875770	Active	N
River Valley Charter	Lakeside Union	Lakeside	92040	www.rivervalleyhigh.org	32.853156	-116.940650	Active	N
