School	City	Zip	Latitude	Longitude	Vintages
Tabernacle Christian Academy	San Diego	92105	32.724230	-117.081831	2021-22,2023-24
Tack International Academy	San Diego	92173	32.554899	-117.052367	2021-22
Tack International Academy	San Diego	92173	32.554899	-117.052367	2021-22
Taproot Montessori Preschool & Kindergarten	El Cajon	92021	32.807280	-116.929961	2021-22,2023-24
Taproot Montessori Preschool & Kindergarten	La Mesa	91942	32.772430	-117.030611	2021-22,2023-24
Taproot Montessori Preschool & Kindergarten	Jamul	91935	32.719456	-116.880263	2023-24
Teri Learning Academy	Oceanside	92058	33.216340	-117.349321	2021-22,2023-24
Teri, Inc. The Country School	Oceanside	92058	33.213893	-117.349329	2021-22,2023-24
The Bishop'S School	La Jolla	92037	32.841228	-117.278766	2021-22,2023-24
The Cambridge School	San Diego	92129	32.952200	-117.128641	2021-22
The Child'S Primary School	San Diego	92111	32.811100	-117.180731	2021-22
The Childrens School	La Jolla	92037	32.849740	-117.253471	2021-22,2023-24
The Gillispie School	La Jolla	92037	32.838748	-117.272302	2021-22,2023-24
The Growing Place Montessori	Poway	92064	32.956290	-117.063091	2021-22
The Koonings Center	Poway	92064	32.949480	-117.065511	2021-22
The Nativity School	Rancho Santa Fe	92067	32.997160	-117.197611	2021-22,2023-24
The Rhoades School	Encinitas	92024	33.036588	-117.237357	2021-22,2023-24
The Rock Academy	San Diego	92106	32.736170	-117.218341	2021-22,2023-24
The Waldorf School Of San Diego	San Diego	92105	32.743190	-117.085281	2023-24
Torah High School Of San Diego	San Diego	92122	32.870930	-117.206371	2021-22,2023-24
Tri-City Christian School	Vista	92083	33.192160	-117.280991	2021-22,2023-24
Trinity Christian School	Spring Valley	91977	32.749960	-117.007061	2021-22,2023-24
True Faith Academy	San Diego	92114	32.703048	-117.024332	2023-24
Urban Skills Center	San Diego	92108	32.768081	-117.141079	2021-22,2023-24
Valley Christian School	San Marcos	92078	33.130200	-117.199071	2021-22
Victory Christian Academy	Chula Vista	91910	32.641632	-117.006857	2021-22,2023-24
Village Gate Children'S Academy	Cardiff By The Sea	92007	33.028198	-117.264424	2021-22,2023-24
Village Montessori School	Carlsbad	92008	33.158980	-117.344731	2021-22,2023-24
Vista Christian School	Vista	92083	33.199710	-117.256541	2021-22,2023-24
Warren-Walker Middle School	San Diego	92108	32.767357	-117.141701	2021-22,2023-24
Warren-Walker School	San Diego	92107	32.734150	-117.251831	2021-22,2023-24
Warren-Walker School-La Mesa	La Mesa	91942	32.772937	-117.006634	2021-22
West Coast Baptist School	Oceanside	92056	33.214650	-117.269381	2021-22,2023-24
West Coast Baptist School	Oceanside	92056	33.214662	-117.269442	2023-24
Winston School	Del Mar	92014	32.952240	-117.263461	2021-22,2023-24
Zion Christian Preschool Kindergarten	Fallbrook	92028	33.375600	-117.229230	2023-24
Zion Lutheran School	Fallbrook	92028	33.375140	-117.229030	2021-22
